date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-06-02,Florida,12,57439,2529,4.402931805915841,21477737,11.774983556228479
2020-06-03,Florida,12,58756,2565,4.365511607325209,21477737,11.94259898051643
2020-06-04,Florida,12,60175,2606,4.330702118820108,21477737,12.133494324844373
2020-06-05,Florida,12,61480,2659,4.32498373454782,21477737,12.380261477268299
2020-06-06,Florida,12,62750,2687,4.282071713147411,21477737,12.510629029492259
2020-06-07,Florida,12,63930,2699,4.22180509932739,21477737,12.566500837588244
2020-06-08,Florida,12,64896,2711,4.17745315581854,21477737,12.622372645684226
2020-06-09,Florida,12,65992,2764,4.188386471087405,21477737,12.869139798108153
2020-06-10,Florida,12,67363,2800,4.156584475156985,21477737,13.036755222396103
2020-06-11,Florida,12,69061,2847,4.12244247838867,21477737,13.255586470772037
2020-06-12,Florida,12,70963,2876,4.052816256358947,21477737,13.390610007003996
2020-06-13,Florida,12,73544,2924,3.9758511911236813,21477737,13.61409723938793
2020-06-14,Florida,12,75560,2930,3.877713075701429,21477737,13.64203314343592
2020-06-15,Florida,12,77318,2937,3.79859799787889,21477737,13.67462503149191
2020-06-16,Florida,12,80101,2992,3.735284203692838,21477737,13.930704151931836
2020-06-17,Florida,12,82711,3017,3.6476405798503224,21477737,14.0471037521318
2020-06-18,Florida,12,85918,3060,3.561535417491096,21477737,14.247311064475742
2020-06-19,Florida,12,89740,3103,3.4577668821038556,21477737,14.447518376819682
2020-06-20,Florida,12,93789,3143,3.351139259401422,21477737,14.633757737139627
2020-06-21,Florida,12,97283,3160,3.2482550908175116,21477737,14.712909465275601
2020-06-22,Florida,12,100209,3172,3.165384346715365,21477737,14.768781273371586
2020-06-23,Florida,12,103495,3237,3.127687327890236,21477737,15.071420233891494
2020-06-24,Florida,12,109006,3280,3.009008678421371,21477737,15.271627546235434
2020-06-25,Florida,12,114010,3326,2.917287957196737,21477737,15.48580281060337
2020-06-26,Florida,12,122952,3365,2.736840392998894,21477737,15.667386186915316
2020-06-27,Florida,12,132537,3389,2.557021812776809,21477737,15.779129803107283
2020-06-28,Florida,12,141067,3418,2.4229621385582734,21477737,15.914153339339244
2020-06-29,Florida,12,146333,3446,2.3549028585486527,21477737,16.044520891563202
2020-06-30,Florida,12,152426,3504,2.2988204112159343,21477737,16.314567964027123
2020-07-01,Florida,12,158989,3549,2.232229902697671,21477737,16.52408724438706
2020-07-02,Florida,12,169098,3616,2.1384049486096823,21477737,16.836038172922965
2020-07-03,Florida,12,178586,3683,2.0623117153640265,21477737,17.147989101458872
2020-07-04,Florida,12,190044,3701,1.9474437498684514,21477737,17.23179681360285
2020-07-05,Florida,12,200103,3730,1.864040019390014,21477737,17.366820349834807
2020-07-06,Florida,12,206439,3777,1.8295961518899044,21477737,17.58565159821074
2020-07-07,Florida,12,213786,3840,1.7961887120765625,21477737,17.878978590714656
2020-07-08,Florida,12,223775,3888,1.7374595017316503,21477737,18.10246582309859
2020-07-09,Florida,12,232710,4008,1.7223153280907566,21477737,18.661183904058422
2020-07-10,Florida,12,244143,4101,1.679753259360293,21477737,19.09419041680229
2020-07-11,Florida,12,254503,4196,1.648703551628075,21477737,19.53650889756216
2020-07-12,Florida,12,269803,4241,1.5718876365348051,21477737,19.746028177922096
2020-07-13,Florida,12,282427,4276,1.5140195519550184,21477737,19.908987618202048
2020-07-14,Florida,12,291621,4408,1.5115509514061058,21477737,20.523577507257865
2020-07-15,Florida,12,301802,4520,1.497670658246135,21477737,21.045047716153707
